City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Igrim,RU,63.19083319999999,64.4183685,40.88,100,92,3.15
Bentiu,SD,9.231487,29.8005027,71.03,95,36,4.83
Bambanglipuro,ID,-7.9481229,110.3130087,86.87,55,0,4.38
Turan,RU,52.1421176,93.92106509999999,45.02,60,0,2.48
Sao joao dos patos,BR,-6.4937893,-43.7039903,81.02,44,0,9.31
Barcelos,BR,-0.2674076,-63.2032151,73.46,96,20,2.71
Tumannyy,RU,68.878911,35.6675264,41.51,100,92,17.36
Fortuna,US,40.5981867,-124.1572756,59.0,76,1,11.41
Mount gambier,AU,-37.8284212,140.7803529,52.67,91,92,9.19
Gat,LY,24.509445,118.1089531,86.0,51,0,4.47
Tilichiki,RU,60.43333299999999,166.0486109,42.5,68,12,10.54
Dolinsk,RU,47.3350064,142.7899519,57.2,82,40,11.18
Kabalo,CD,-6.0329665,26.9263671,69.86,92,24,6.96
Padang,ID,-0.9470831999999999,100.417181,79.76,100,36,4.16
Batemans bay,AU,-35.7143871,150.1794707,57.62,62,44,11.77
Peniche,PT,39.3603291,-9.387622,64.4,93,75,12.75
Porbandar,IN,21.6417069,69.6292654,80.66,90,0,7.07
Baherden,TM,38.4361809,57.42878990000001,60.14,55,0,3.83
Miles city,US,46.4083362,-105.8405582,80.6,19,40,8.05
Waingapu,ID,-9.738685799999999,120.182022,88.22,49,8,7.18
Maimon,DO,18.9066115,-70.2735719,78.8,83,75,2.37
Las conchas,HN,13.3238027,-87.3971964,83.72,90,48,5.17
Sao filipe,CV,14.8951679,-24.4945636,79.85,100,8,10.31
Bikaner,IN,28.0229348,73.3119159,81.56,75,0,4.61
Liwale,TZ,-9.8012675,37.9201751,61.76,84,0,3.27
Andenes,NO,69.31607989999999,16.1202285,46.4,93,36,6.93
Linchuan,CN,27.934572,116.312166,78.68,64,0,15.46
Mayumba,GA,-3.4426092,10.6562606,73.01,100,92,3.38
Salaverry,PE,-8.2141205,-78.97689989999999,62.6,88,90,11.41
Ituporanga,BR,-27.4156778,-49.603384,57.53,93,24,4.05
Altay,CN,47.844924,88.14125299999999,35.75,78,80,1.81
Acari,PE,-15.4384565,-74.6180833,47.18,81,12,2.59
Scarborough,GB,54.283113,-0.399752,50.0,87,92,9.17
Shahdadkot,PK,27.848312,67.91063179999999,84.89,63,0,7.4
Sidney,US,41.1448219,-102.9774497,78.8,29,1,11.41
Salihorsk,BY,52.7899466,27.5359617,56.9,73,32,19.26
Mormugao,IN,15.3874352,73.8154394,77.06,100,92,6.06
Quarai,BR,-30.3845133,-56.4488086,64.91,96,92,7.85
Ponta delgada,PT,37.7428301,-25.6805868,71.6,78,75,6.93
Umm lajj,SA,25.026409,37.27076,77.15,88,0,4.27
Panchagarh,BD,26.2708705,88.59517509999999,81.65,95,64,4.38
Miramar,MX,22.3384943,-97.87006389999999,82.4,74,5,11.41
Mahajanga,MG,-15.6921494,46.3336857,69.8,83,0,4.7
Luba,GQ,3.4590145,8.552874599999999,75.2,88,75,3.36
Libertador general san martin,AR,-23.8153322,-64.7928261,55.4,66,0,4.7
Sandnessjoen,NO,66.0215534,12.6314628,51.8,100,80,1.12
Palaia fokaia,GR,37.7178168,23.9464496,71.6,60,0,3.36
Plastun,RU,44.7548106,136.3089946,50.78,100,92,3.04
Fort nelson,CA,58.8050174,-122.697236,59.0,41,75,9.17
Petropavlovsk-kamchatskiy,RU,53.0409109,158.677726,55.4,54,75,4.47
Beisfjord,NO,68.376177,17.5960147,53.6,66,48,6.93
Yarmouth,CA,43.8374576,-66.11738199999999,59.0,87,5,10.29
Hurricane,US,37.1752607,-113.2899484,93.2,18,1,10.29
New ulm,US,44.3144394,-94.45930179999999,77.0,78,1,9.98
Karauzyak,UZ,43.0174717,60.011507,53.6,50,0,4.7
Bogo,CM,10.7330518,14.6004911,74.0,85,88,3.15
Bensonville,LR,6.446975999999999,-10.6182477,73.01,96,92,1.92
Lucea,JM,18.4504186,-78.17639369999999,84.2,79,20,5.82
Sibolga,ID,1.7368371,98.78511209999999,76.79,89,24,2.59
Poum,NC,-20.2349574,164.0329499,75.17,95,0,8.63
Santiago,PH,16.7149832,121.5537152,85.34,94,12,5.73
Vao,NC,-22.6658429,167.4960078,71.84,100,44,13.0
Verkhnevilyuysk,RU,63.44358839999999,120.3197132,51.32,83,20,5.17
Shubarkuduk,KZ,49.14301649999999,56.4816745,53.84,52,0,8.86
Gubkinskiy,RU,64.4444789,76.4742687,35.3,100,24,4.72
Terrace,CA,34.035425,-117.306961,80.6,44,1,24.16
Tsihombe,MG,-25.3168473,45.48630929999999,55.01,66,0,3.04
Bathsheba,BB,13.2101681,-59.5253545,80.6,94,75,5.82
Kamina,CD,-8.7368981,24.9872821,60.32,89,0,3.38
Hiranagar,IN,32.4556366,75.27276549999999,83.36,49,0,4.94
Yanam,IN,16.7271912,82.21757749999999,78.68,98,64,3.27
Acapulco,MX,16.8531086,-99.8236533,75.2,94,90,10.29
Loandjili,CG,-4.76732,11.8627984,77.0,83,75,4.7
Buala,SB,-8.1662459,159.6189829,85.16,82,80,9.42
La macarena,CO,2.181718,-73.78645,71.48,99,92,1.81
Chernyshevskiy,RU,63.0250384,112.4902494,48.62,77,8,7.96
Okha,RU,53.577557,142.9424741,58.16,78,0,4.83
Thinadhoo,MV,0.531061,72.99772519999999,81.92,100,68,12.77
Boissevain,CA,49.2304365,-100.0595039,59.0,62,75,10.29
Camacha,PT,32.679852,-16.8502879,71.6,73,40,16.11
Mpulungu,ZM,-8.772507,31.1166193,56.0,50,8,9.19
Sioux lookout,CA,50.0978321,-91.922038,62.6,59,90,3.36
Khani,RU,56.933333,119.965,52.22,70,0,2.15
Luau,AO,-10.7072554,22.22946,65.18,33,0,4.61
Sorvag,FO,62.07129279999999,-7.3058656,44.6,93,88,29.97
Hay river,CA,60.816218,-115.7853652,48.2,70,20,6.93
Margate,ZA,-30.8458684,30.37237409999999,66.53,97,92,12.55
Malinovoye ozero,RU,51.6781161,79.7893754,48.62,82,0,4.61
Mandalgovi,MN,45.7631589,106.2650297,66.35,56,8,13.67
Bahia honda,CU,22.9081486,-83.1702597,78.23,91,0,2.59
Salalah,OM,17.0506675,54.1065864,78.8,83,20,9.19
Puerto escondido,MX,15.8719795,-97.0767365,80.21,100,88,11.21
